region,villager,identifier,mean_trend,p95_trend,recent_4w,TrendsScore,tier,rank,official_rank_overall,OfficialScore,TrendsScore_norm,PopularityIndex,rank_region
Global,Admiral,Admiral animal crossing,0.0,0.0,0.0,0.0,6.0,89.0,339.0,0.17961165048543692,0.0,0.07184466019417478,314
Global,Agent S,Agent S animal crossing,0.0,0.0,0.0,0.0,6.0,45.0,295.0,0.28640776699029125,0.0,0.1145631067961165,273
Global,Agnes,Agnes animal crossing,0.0,0.0,0.0,0.0,4.0,26.0,96.0,0.7694174757281553,0.0,0.30776699029126214,90
Global,Al,Al animal crossing villager gorilla,0.0,0.0,0.0,0.0,6.0,19.0,269.0,0.3495145631067961,0.0,0.13980582524271842,248
Global,Alfonso,Alfonso animal crossing,0.0,0.0,0.0,0.0,6.0,6.0,256.0,0.3810679611650486,0.0,0.15242718446601944,236
Global,Alice,Alice animal crossing,0.0,0.0,0.0,0.0,4.0,14.0,84.0,0.7985436893203883,0.0,0.3194174757281554,79
Global,Alli,Alli animal crossing,0.0,0.0,0.0,0.0,6.0,99.0,349.0,0.15533980582524276,0.0,0.062135922330097106,323
Global,Amelia,Amelia animal crossing,0.0,0.0,0.0,0.0,6.0,88.0,338.0,0.18203883495145634,0.0,0.07281553398058253,313
Global,Anabelle,Anabelle animal crossing,0.0,0.0,0.0,0.0,6.0,4.0,254.0,0.38592233009708743,0.0,0.15436893203883498,234
Global,Anchovy,Anchovy animal crossing,0.0,0.0,0.0,0.0,5.0,107.0,237.0,0.4271844660194175,0.0,0.17087378640776701,217
Global,Angus,Angus animal crossing,0.0,0.0,0.0,0.0,6.0,29.0,279.0,0.3252427184466019,0.0,0.13009708737864076,258
Global,Anicotti,Anicotti animal crossing,0.0,0.0,0.0,0.0,6.0,68.0,318.0,0.23058252427184467,0.0,0.09223300970873788,295
Global,Ankha,Ankha animal crossing,0.0,0.0,0.0,0.0,1.0,7.0,7.0,0.9854368932038835,0.0,0.39417475728155343,4
Global,Annalisa,Annalisa animal crossing,0.0,0.0,0.0,0.0,5.0,15.0,145.0,0.6504854368932038,0.0,0.2601941747572815,135
Global,Annalise,Annalise animal crossing,0.0,0.0,0.0,0.0,6.0,59.0,309.0,0.2524271844660194,0.0,0.10097087378640777,286
Global,Antonio,Antonio animal crossing,0.0,0.0,0.0,0.0,5.0,1.0,131.0,0.6844660194174756,0.0,0.27378640776699026,121
Global,Apollo,Apollo animal crossing,0.0,0.0,0.0,0.0,2.0,20.0,35.0,0.9174757281553398,0.0,0.36699029126213595,31
Global,Apple,Apple animal crossing,0.0,0.0,0.0,0.0,3.0,1.0,41.0,0.9029126213592233,0.0,0.36116504854368936,37
Global,Astrid,Astrid animal crossing,0.0,0.0,0.0,0.0,5.0,96.0,226.0,0.4538834951456311,0.0,0.18155339805825244,208
Global,Audie,Audie animal crossing,0.0,0.0,0.0,0.0,2.0,2.0,17.0,0.9611650485436893,0.0,0.38446601941747577,14
Global,Aurora,Aurora animal crossing,0.0,0.0,0.0,0.0,4.0,5.0,75.0,0.8203883495145631,0.0,0.32815533980582523,70
Global,Ava,Ava animal crossing villager chicken,0.0,0.0,0.0,0.0,6.0,76.0,326.0,0.21116504854368934,0.0,0.08446601941747574,302
